City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port alfred,-33.5906,26.891,60.98,52,56,4.56,ZA,1689559915
83,papatowai,-46.5619,169.4708,50.79,84,100,17.74,NZ,1689560115
84,sisimiut,66.9395,-53.6735,45.7,96,100,4.68,GL,1689560115
85,jamestown,42.097,-79.2353,71.19,82,0,5.75,US,1689560116
86,cockburn town,21.4612,-71.1419,83.59,83,3,17.9,TC,1689560116
87,inirida,3.8653,-67.9239,73.31,98,100,0.83,CO,1689560116
88,n'zeto,-7.2312,12.8666,67.68,94,0,4.72,AO,1689560116
89,correntina,-13.3433,-44.6367,70.61,52,5,5.5,BR,1689560118
90,port mathurin,-19.6833,63.4167,73.26,72,88,25.52,MU,1689560084
91,geraldton,-28.7667,114.6,54.01,71,0,8.05,AU,1689560118
92,katsuren-haebaru,26.3369,127.8719,89.62,74,75,10.36,JP,1689560118
93,antofagasta,-23.65,-70.4,61.88,87,100,5.12,CL,1689560119
94,anadyr,64.75,177.4833,77.5,38,0,8.95,RU,1689560062
95,albany,42.6001,-73.9662,73.27,93,100,1.01,US,1689559920
96,constantia,44.1833,28.65,68.7,67,0,5.61,RO,1689560120
97,axim,4.8699,-2.2405,75.63,91,59,6.91,GH,1689560120
98,nar'yan-mar,67.6713,53.087,59.63,87,100,8.41,RU,1689560120
99,akureyri,65.6835,-18.0878,46.33,81,100,11.5,IS,1689560120
100,puerto ayora,-0.7393,-90.3518,77.56,94,57,5.01,EC,1689560121
101,umm kaddadah,13.6017,26.6876,87.35,43,7,10.63,SD,1689560121
102,galliano,29.4422,-90.2992,80.6,89,0,0.0,US,1689560121
103,wailua homesteads,22.0669,-159.378,81.39,76,100,14.97,US,1689560121
104,hithadhoo,-0.6,73.0833,81.52,73,93,3.2,MV,1689560122
105,pangai,-19.8,-174.35,73.51,78,75,14.97,TO,1689560122
106,centenario,-38.8043,-68.14,39.16,57,90,11.25,AR,1689559865
107,areia branca,-4.9561,-37.1369,76.6,74,8,18.52,BR,1689560122
108,karratha,-20.7377,116.8463,72.93,33,2,11.72,AU,1689560060
109,invercargill,-46.4,168.35,49.95,92,100,15.64,NZ,1689560054
110,auki,-8.7676,160.7034,78.76,87,96,2.66,SB,1689560123
111,opuwo,-18.0607,13.84,57.87,30,0,10.63,NA,1689560123
112,isangel,-19.55,169.2667,73.27,69,58,16.42,VU,1689560124
113,mersing,2.4312,103.8405,84.11,89,20,5.75,MY,1689560124
114,mossel bay,-34.1831,22.146,55.33,65,64,4.38,ZA,1689560124
115,lihue,21.9789,-159.3672,81.99,70,100,14.97,US,1689559904
116,fale old settlement,-9.3852,-171.2468,83.46,75,17,15.82,TK,1689560081
117,iskateley,67.6803,53.1512,59.49,87,100,8.21,RU,1689560125
118,lepsy,46.235,78.9456,81.93,24,0,1.92,KZ,1689560126
119,medina,24.4686,39.6142,97.23,9,20,3.44,SA,1689560126
120,chui,-33.6971,-53.4616,42.04,81,66,7.47,UY,1689560126
121,brandon,27.9378,-82.2859,84.88,94,0,0.0,US,1689560127
122,cestos city,5.46,-9.5828,76.53,89,99,6.17,LR,1689560127
123,mahibadhoo,3.7833,72.9667,83.48,75,81,14.23,MV,1689560127
124,port blair,11.6667,92.75,82.44,83,100,10.36,IN,1689560127
125,ushuaia,-54.8,-68.3,37.06,75,40,5.75,AR,1689560128
126,howard springs,-12.497,131.047,85.91,34,94,12.35,AU,1689560128
127,lata,40.1629,-8.3327,57.07,95,0,2.51,PT,1689560128
128,sakassou,7.4546,-5.2926,71.31,98,99,3.62,CI,1689560128
129,mgandu,-5.95,34.1333,54.0,68,0,7.99,TZ,1689560129
130,bucerias,20.75,-105.3333,87.78,79,100,9.22,MX,1689560129
131,college,64.8569,-147.8028,73.38,41,75,4.61,US,1689560129
132,glennville,31.9366,-81.9285,78.35,90,10,3.94,US,1689560129
133,labrador city,52.9463,-66.9114,67.91,73,75,6.91,CA,1689560130
134,youghal,51.95,-7.8506,51.01,100,28,8.81,IE,1689560130
135,san mariano,7.5,126.0,81.7,71,96,2.39,PH,1689560130
136,alice springs,-23.7,133.8833,67.55,40,16,14.97,AU,1689560131
137,kingston,17.997,-76.7936,85.15,85,20,6.91,JM,1689559951
138,preobrazheniye,42.9019,133.9064,67.17,83,97,9.53,RU,1689560131
139,viedma,-40.8135,-62.9967,39.79,53,13,14.12,AR,1689559873
140,east london,-33.0153,27.9116,61.72,45,99,4.85,ZA,1689560083
141,ubinskoye,55.3068,79.6802,63.81,59,49,9.17,RU,1689560132
142,male,4.1748,73.5089,83.32,76,100,14.47,MV,1689560133
143,punta arenas,-53.15,-70.9167,39.31,81,75,13.8,CL,1689560000
144,arraial do cabo,-22.9661,-42.0278,67.86,100,0,4.61,BR,1689560098
145,kargil,34.5667,76.1,61.02,57,91,1.79,IN,1689560133
146,kodiak,57.79,-152.4072,60.31,67,100,6.91,US,1689560133
147,novodvinsk,64.4165,40.8122,61.65,71,92,4.14,RU,1689560134
148,ust'-ilimsk,58.0006,102.6619,69.03,60,100,6.51,RU,1689559901
149,bilibino,68.0546,166.4372,82.13,29,89,10.56,RU,1689560134
150,shitanjing,39.2342,106.3439,80.06,20,0,7.36,CN,1689560134
151,cidreira,-30.1811,-50.2056,53.01,76,100,7.61,BR,1689560135
152,harbin,45.75,126.65,66.15,95,100,2.86,CN,1689560135
153,es castell,39.8795,4.2854,77.68,94,40,5.75,ES,1689560135
154,eyl,7.9803,49.8164,77.77,67,100,25.43,SO,1689560135
155,cill airne,52.05,-9.5167,50.95,96,84,5.1,IE,1689560136
156,bozeman,45.6796,-111.0386,84.69,39,0,3.44,US,1689560136
157,zyryanskoye,56.8306,86.6258,65.89,77,22,5.26,RU,1689560136
158,afaahiti,-17.75,-149.2833,82.27,58,3,1.99,PF,1689560136
159,berezovyy,51.6667,135.7,80.83,47,74,5.66,RU,1689560136
160,millau,44.0833,2.9167,62.02,76,100,1.52,FR,1689560137
161,kapuskasing,49.4169,-82.4331,59.09,94,75,3.44,CA,1689560077
162,da lat,11.9465,108.4419,65.59,87,99,7.76,VN,1689560137
163,luxor,25.6989,32.6421,87.21,17,0,4.68,EG,1689560137
164,luderitz,-26.6481,15.1594,63.18,45,0,7.43,NA,1689560137
165,inarajan village,13.2736,144.7484,87.94,91,100,13.15,GU,1689560138
166,dudinka,69.4058,86.1778,47.62,53,36,14.92,RU,1689560080
167,richards bay,-28.783,32.0377,60.94,86,0,4.07,ZA,1689560138
168,khandyga,62.6667,135.6,64.9,37,8,5.91,RU,1689560138
169,udachny,66.4167,112.4,48.45,87,100,14.45,RU,1689560138
170,south upi,6.8333,124.15,79.36,68,53,3.38,PH,1689560139
171,atafu village,-8.5421,-172.5159,83.5,76,97,13.96,TK,1689560139
172,jalai nur,49.45,117.7,80.15,34,0,7.76,CN,1689560139
173,sao joao da barra,-21.6403,-41.0511,70.5,92,3,4.76,BR,1689560140
174,yatou,37.15,122.3833,81.46,54,100,5.01,CN,1689560140
175,ihosy,-22.4,46.1167,55.96,95,55,3.53,MG,1689560140
176,kirovskiy,45.0917,133.5136,67.64,87,100,3.27,RU,1689560140
177,buka,40.8108,69.1986,80.24,23,0,5.5,UZ,1689560140
178,uturoa,-16.7333,-151.4333,78.35,65,0,8.61,PF,1689560141
179,piti village,13.4626,144.6933,87.85,84,75,5.75,GU,1689560141
180,mata-utu,-13.2816,-176.1745,80.69,81,48,15.77,WF,1689560141
181,palikir - national government center,6.9248,158.1611,81.45,83,100,11.5,FM,1689560141
182,port macquarie,-31.4333,152.9167,66.88,71,78,5.55,AU,1689560141
183,masterton,-40.9597,175.6575,57.88,63,3,4.88,NZ,1689560142
184,bardai,11.65,7.2333,76.26,71,74,1.5,NG,1689560142
185,thompson,55.7435,-97.8558,62.76,82,100,4.61,CA,1689560056
186,margaret river,-33.95,115.0667,58.19,77,91,7.49,AU,1689560142
187,cabo san lucas,22.8909,-109.9124,85.6,74,0,9.22,MX,1689560142
188,tura,25.5198,90.2201,79.03,83,100,4.56,IN,1689560142
189,katsuura,35.1333,140.3,84.87,68,13,6.55,JP,1689560143
190,mount pearl,47.5166,-52.7813,67.44,93,100,12.66,CA,1689559918
191,vila do maio,15.1333,-23.2167,81.39,85,44,10.27,CV,1689560143
192,carnarvon,-24.8667,113.6333,64.56,29,0,7.18,AU,1689560143
193,karatas,36.582,35.3701,79.45,52,0,5.75,TR,1689560143
194,tsiombe,-25.3,45.4833,60.84,73,6,4.85,MG,1689560144
195,dalandzadgad,43.5708,104.425,85.57,16,5,5.99,MN,1689560144
196,olonkinbyen,70.9221,-8.7187,39.49,96,100,22.03,SJ,1689560075
197,vorgashor,67.5833,63.95,60.08,89,100,12.88,RU,1689560144
198,haapsalu,58.9431,23.5414,63.01,90,3,10.96,EE,1689560144
199,whitehorse,60.7161,-135.0538,79.57,25,75,11.5,CA,1689560145
200,nazyvayevsk,55.5698,71.3529,65.26,67,57,7.83,RU,1689560145
201,kitgum,3.2783,32.8867,64.08,92,29,4.09,UG,1689560145
202,kibondo,-3.5864,30.7203,57.94,49,1,1.59,TZ,1689560145
203,umarkot,25.3616,69.7362,84.49,67,16,14.38,PK,1689560145
204,metlili chaamba,32.2667,3.6333,81.54,12,0,5.75,DZ,1689560146
205,klyuchi,52.2667,79.1667,68.05,67,18,7.9,RU,1689560146
206,leksand,60.7339,15.0032,59.18,85,94,13.38,SE,1689560146
207,coeur d'alene,47.6777,-116.7805,95.88,21,0,5.75,US,1689559902
208,kailua-kona,19.6406,-155.9956,84.16,75,40,10.36,US,1689559989
209,georgetown,5.4112,100.3354,85.95,78,20,2.3,MY,1689560117
